gene_symbol,Cpa3
mouse_strain,C57BL
analysis_id,34go38m681i858l
mouse_life_stage,Early adult
gene_accession_id,MGI:88479
parameter_name,Creatinine
pvalue,0.8484255
parameter_id,HMGULA_CBC_005_001
