parameter_name,MZB (CD21/35 high)
pvalue,0.1225076
gene_symbol,Mms22l
analysis_id,ng383693yv99hn6
mouse_strain,129SV
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
parameter_id,IMPC_IMM_071_001
