analysis_id,9730sq932ro486t
gene_accession_id,MGI:1929866
parameter_name,Distance travelled - total
pvalue,0.8120815
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_020_001
mouse_strain,C57BL
gene_symbol,Rgs20
