analysis_id,52maocp75jyd8xp
parameter_id,IMPC_EYE_059_001
gene_accession_id,MGI:1914515
parameter_name,Mean right eye lens density
mouse_strain,C57BL
pvalue,0.1288355
mouse_life_stage,Early adult
gene_symbol,Slc39a10
