analysis_id,z227cn9zg6v8s0k
mouse_life_stage,Early adult
parameter_name,18kHz-evoked ABR Threshold
gene_accession_id,MGI:1913576
mouse_strain,C57BL
pvalue,0.4184006
gene_symbol,Dnajc5b
parameter_id,IMPC_ABR_008_001
