analysis_id,4bks42z22m81525
parameter_id,MGP_PBI_030_001
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
mouse_strain,C57BL
pvalue,0.1393559
gene_symbol,Etfdh
