analysis_id,44k28zk84f8bo54
gene_accession_id,MGI:1921262
mouse_strain,C57BL
gene_symbol,Rap2b
parameter_id,ESLIM_004_001_701
parameter_name,Glucose response AUC
pvalue,0.7778758
mouse_life_stage,Early adult
