parameter_name,Radius
pvalue,1.058398
gene_symbol,Lpgat1
mouse_strain,C57BL
parameter_id,IMPC_XRY_022_001
analysis_id,zis4w577lufxy8z
mouse_life_stage,E18.5
gene_accession_id,MGI:2446186
