parameter_name,Center permanence time
parameter_id,IMPC_OFD_016_001
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_accession_id,MGI:2446186
pvalue,0.851112
analysis_id,xde99067lt810r7
gene_symbol,Lpgat1
