parameter_id,HMGULA_DYS_024_001
mouse_strain,C57BL
gene_accession_id,MGI:1913483
parameter_name,Vibrissae - appearance
pvalue,0.6392114
analysis_id,959wjpd57310su2
gene_symbol,Dmap1
mouse_life_stage,Early adult
