gene_symbol,Mms22l
parameter_id,IMPC_HEM_037_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
pvalue,0.5407199
mouse_strain,129SV
analysis_id,3oqof71iw21yb00
parameter_name,Basophil cell count
