analysis_id,1lt78695e725340
pvalue,0.1044692
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_048_002
gene_accession_id,MGI:2685277
mouse_strain,C57BL
parameter_name,Anophthalmia
gene_symbol,Zyg11b
