parameter_id,GMC_906_001_005
mouse_strain,C57BL
gene_symbol,Ahctf1
mouse_life_stage,Early adult
gene_accession_id,MGI:1915033
parameter_name,Potassium
analysis_id,61qi1f8908448rk
pvalue,0.7021166
