parameter_name,Phosphorus
gene_accession_id,MGI:1916363
pvalue,0.1692354
mouse_life_stage,Early adult
gene_symbol,Alkbh3
mouse_strain,C57BL
parameter_id,IMPC_CBC_010_001
analysis_id,wowr168ej63xwu6
