pvalue,4.582139e-05
parameter_name,Number of rears - total
mouse_strain,C57BL
parameter_id,JAX_OFD_021_001
analysis_id,pg56jm8c65n73xd
mouse_life_stage,Early adult
gene_accession_id,MGI:1914583
gene_symbol,Stk35
