analysis_id,u7o4904g25r8727
parameter_name,Total cholesterol
mouse_strain,C57BL
gene_accession_id,MGI:1914071
mouse_life_stage,Early adult
pvalue,0.9693095
parameter_id,JAXLA_CBC_015_001
gene_symbol,Bcs1l
