gene_symbol,Lcn2
pvalue,0.7572213
analysis_id,f31184e2625w3z2
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
parameter_id,MGP_IMM_017_001
gene_accession_id,MGI:96757
mouse_strain,C57BL
mouse_life_stage,Early adult
