gene_symbol,Dmap1
mouse_life_stage,E12.5
pvalue,0.4111541
gene_accession_id,MGI:1913483
analysis_id,p2q779632r0i25z
parameter_id,ESLIM_007_001_010
mouse_strain,C57BL
parameter_name,Centre distance travelled
