parameter_name,B Cells
analysis_id,w075u216rfvm9o6
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ufc1
parameter_id,IMPC_IMM_063_001
pvalue,0.7112598
gene_accession_id,MGI:1913405
