parameter_name,6kHz-evoked ABR Threshold
parameter_id,IMPC_ABR_004_001
gene_accession_id,MGI:3026886
analysis_id,0n8829f3dj82mo0
mouse_strain,C57BL
pvalue,0.785489
gene_symbol,Cdin1
mouse_life_stage,Early adult
