gene_symbol,Lime1
mouse_strain,C57BL
analysis_id,d2q7q7x9lof43hs
mouse_life_stage,Early adult
parameter_name,B2B Cells
parameter_id,IMPC_IMM_065_001
gene_accession_id,MGI:1919949
pvalue,0.4024595
