analysis_id,x8rvh6ayr77466l
mouse_strain,C57BL
gene_symbol,Bach2
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
parameter_id,IMPC_IMM_004_002
pvalue,0.7384701
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
