analysis_id,7538n7567v7d35c
pvalue,0.7681072
gene_symbol,Nipal3
mouse_life_stage,Early adult
gene_accession_id,MGI:1921802
mouse_strain,129SV
parameter_name,Thoracic processes
parameter_id,IMPC_XRY_064_001
