analysis_id,17641yr5849419m
mouse_strain,129SV
pvalue,0.8694379
mouse_life_stage,Early adult
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
parameter_name,Breath rate during sleep standard deviation
parameter_id,JAX_SLW_014_001
