gene_symbol,Ivd
gene_accession_id,MGI:1929242
parameter_name,Alanine aminotransferase
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_CBC_013_001
analysis_id,6jx9n5r096ps81r
pvalue,0.8655918
