parameter_name,Limb morphology
pvalue,0.06450414
mouse_life_stage,Late adult
analysis_id,50227ke8v165vxo
gene_accession_id,MGI:1934811
gene_symbol,Nucks1
mouse_strain,C57BL
parameter_id,IMPC_GEP_084_001
