analysis_id,38115tx8xi0j953
parameter_id,IMPC_IMM_047_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914309
parameter_name,DN CD44+CD62L+ NKT cells
gene_symbol,Ola1
pvalue,0.8900443
