parameter_name,LVIDd
parameter_id,IMPC_ECH_008_001
gene_symbol,AU040320
pvalue,0.6764661
analysis_id,fh20sjkgt7f5g08
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2140475
mouse_strain,C57BL
