gene_symbol,Dcaf10
mouse_strain,C57BL
parameter_id,M-G-P_006_001_026
parameter_name,Fusion of vertebrae
mouse_life_stage,Early adult
gene_accession_id,MGI:2140179
analysis_id,oq366b5b7p77143
pvalue,0.2101926
