analysis_id,eg98pe8omm57d7m
parameter_id,MGP_IMM_026_001
gene_accession_id,MGI:1341628
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
mouse_life_stage,Early adult
gene_symbol,Atrn
pvalue,0.1682183
mouse_strain,C57BL
