gene_symbol,Nucks1
parameter_name,KLRG1+ gd T cells - % of gd T cells
gene_accession_id,MGI:1934811
mouse_life_stage,Late adult
analysis_id,vxgk8sb582qv67i
mouse_strain,C57BL
parameter_id,MGP_MLN_021_001
pvalue,0.7687387
