analysis_id,808t5ktvyg7l533
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Casq1
pvalue,0.9934874
parameter_name,Right kidney weight
parameter_id,IMPC_OWT_004_001
gene_accession_id,MGI:1309468
