parameter_id,IMPC_CSD_079_001
mouse_strain,C57BL
analysis_id,cs7uhn6kh325jkx
mouse_life_stage,E9.5
gene_accession_id,MGI:1915087
pvalue,0.1167441
parameter_name,Aggression
gene_symbol,Tiprl
