analysis_id,3sbdc2c23a50531
gene_accession_id,MGI:1914561
mouse_strain,C57BL
pvalue,0.341238
mouse_life_stage,Early adult
parameter_name,Effector gd T cells - % of gd T cells
gene_symbol,Nanp
parameter_id,MGP_IMM_020_001
