parameter_name,Limb grasping
parameter_id,ESLIM_008_001_017
pvalue,0.1142383
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:88461
analysis_id,vhuk3n91662zi97
gene_symbol,Col6a3
