analysis_id,ad1shp4nh77xjp9
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1915033
parameter_name,Neutrophil cell count
pvalue,0.2882897
parameter_id,IMPC_HEM_030_001
gene_symbol,Ahctf1
