analysis_id,810n5j8ghe3l241
parameter_name,Sacral processes
gene_symbol,Cds2
parameter_id,IMPC_XRY_066_001
pvalue,0.6560272
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1332236
