parameter_name,Vitreous
analysis_id,kp8n5b92784e65y
pvalue,0.5246785
parameter_id,IMPC_EYE_083_001
gene_accession_id,MGI:1914561
gene_symbol,Nanp
mouse_strain,C59BL
mouse_life_stage,E18.5
