analysis_id,04o4256a7pijef6
pvalue,0.6425066
parameter_id,M-G-P_005_001_004
mouse_strain,C57BL
gene_accession_id,MGI:1929242
mouse_life_stage,Early adult
parameter_name,Bone Mineral Density (excluding skull)
gene_symbol,Ivd
