analysis_id,8d607gjwasl37r3
gene_accession_id,MGI:1888742
gene_symbol,Extl1
mouse_strain,C57BL
pvalue,0.7262024
parameter_name,Total NK cells - % of CD45+
mouse_life_stage,Early adult
parameter_id,MGP_MLN_031_001
