analysis_id,05z3254b1fzaqla
pvalue,0.6023348
parameter_id,HMGULA_CBC_018_001
parameter_name,Glucose
mouse_strain,C57BL
gene_accession_id,MGI:2651854
gene_symbol,Atg4c
mouse_life_stage,Early adult
