parameter_id,JAXLA_CSD_023_001
analysis_id,8eo8q044yg2sn6u
parameter_name,Vibrissae - presence
gene_symbol,Ola1
mouse_strain,C57BL
gene_accession_id,MGI:1914309
pvalue,0.8101222
mouse_life_stage,Early adult
