gene_symbol,Zcchc2
pvalue,0.66678
parameter_name,Total ab T cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:2444114
mouse_life_stage,Early adult
parameter_id,MGP_IMM_070_001
analysis_id,p29234ex8o68c8t
