parameter_id,MGP_CSD_025_001
pvalue,0.2157572
mouse_strain,C57BL
parameter_name,Ventral coat/hair presence
analysis_id,5krx5xi26pk4c0l
mouse_life_stage,Early adult
gene_accession_id,MGI:1914256
gene_symbol,Cisd2
