parameter_id,JAXLA_GRS_010_001
analysis_id,ve23eq1giwrb1ex
gene_symbol,Exd1
gene_accession_id,MGI:3045306
parameter_name,Forelimb grip strength normalised against body weight
pvalue,0.9555949
mouse_strain,C57BL
mouse_life_stage,Early adult
