parameter_id,JAX_LDT_003_001
parameter_name,Time mobile light side
analysis_id,878pfarg789f026
mouse_strain,C57BL
gene_symbol,Atf3
gene_accession_id,MGI:109384
pvalue,0.9944633
mouse_life_stage,Early adult
