gene_symbol,Bdh2
parameter_name,Alpha beta T cell percentage
analysis_id,xg2id2npgu4xj62
pvalue,0.8940806
gene_accession_id,MGI:1917022
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_002_001
