gene_symbol,Kdm5b
pvalue,0.0518093
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_accession_id,MGI:1922855
analysis_id,a2b98602o93pzrv
parameter_id,TCPLA_GRS_011_001
mouse_life_stage,Early adult
