parameter_name,Basophil cell count
gene_symbol,Duoxa2
pvalue,0.3778981
gene_accession_id,MGI:1914061
parameter_id,IMPC_HEM_037_001
analysis_id,h535536rm7i1163
mouse_strain,C57BL
mouse_life_stage,Early adult
