gene_symbol,Tnni1
parameter_id,HRWLLA_CBC_014_001
mouse_strain,C57BL
pvalue,0.1374717
mouse_life_stage,Early adult
parameter_name,Alkaline phosphatase
analysis_id,8axwviiy5b2s798
gene_accession_id,MGI:105073
