gene_symbol,Slc2a8
analysis_id,3n64hd27ripg63c
pvalue,0.31356
parameter_name,Glucose
mouse_strain,C57BL
gene_accession_id,MGI:1860103
parameter_id,HMGULA_CBC_018_001
mouse_life_stage,Early adult
