analysis_id,255df6vw27ht7h2
gene_symbol,Exd1
gene_accession_id,MGI:3045306
mouse_life_stage,Early adult
pvalue,0.5764486
parameter_id,IMPC_XRY_059_001
mouse_strain,C57BL
parameter_name,Shape of ribcage
