parameter_name,PP1 startle magnitude
mouse_life_stage,Early adult
analysis_id,o63ttg15i4j8z9o
gene_symbol,Zyg11b
parameter_id,ESLIM_011_001_002
mouse_strain,C57BL
pvalue,0.8422731
gene_accession_id,MGI:2685277
