analysis_id,kd4u8qjuwr2xof4
parameter_id,MGP_PBI_001_001
gene_symbol,Arnt
mouse_life_stage,Early adult
gene_accession_id,MGI:88071
pvalue,0.7208483
mouse_strain,C57BL
parameter_name,Total T cell percentage
