parameter_id,HMGULA_SHI_009_001
gene_symbol,Kcng1
gene_accession_id,MGI:3616086
analysis_id,8957536rl4c3294
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7469151
parameter_name,Startle response
