parameter_id,IMPC_GEL_006_001
parameter_name,Pericardium Morphology
mouse_life_stage,Early adult
gene_symbol,Morn5
gene_accession_id,MGI:1922745
pvalue,0.2715925
mouse_strain,C57BL
analysis_id,2jgnl3i58s3r514
