analysis_id,f9b44t7pki94ju4
gene_accession_id,MGI:97838
mouse_life_stage,E9.5
parameter_name,Coat - hair distribution - head
mouse_strain,C57BL
pvalue,0.6455672
gene_symbol,Eprs1
parameter_id,IMPC_CSD_012_001
