analysis_id,or5sn1h2659ga9o
pvalue,0.3527897
gene_accession_id,MGI:2444554
parameter_id,IMPC_ECG_008_001
gene_symbol,Mapkap1
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_name,ST
