analysis_id,46w15w20h3n3v4b
gene_symbol,Ahcy
mouse_strain,C57BL
gene_accession_id,MGI:87968
mouse_life_stage,E9.5
parameter_name,Lens Opacity
pvalue,0.4485001
parameter_id,IMPC_EYE_017_001
