analysis_id,jc25ubo5jp6k4ax
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1921442
pvalue,0.215811
parameter_id,IMPC_ACS_034_001
gene_symbol,Arpc5l
parameter_name,% Pre-pulse inhibition - PPI2
