analysis_id,nck75bxis18v496
mouse_strain,C57BL
gene_accession_id,MGI:1921262
pvalue,0.2772166
mouse_life_stage,Early adult
parameter_id,HRWLLA_DXA_007_001
gene_symbol,Rap2b
parameter_name,BMC/Body weight
