parameter_name,Limb morphology
mouse_strain,C57BL
analysis_id,w42e6ez31e11055
gene_symbol,Bmp7
pvalue,0.6496327
gene_accession_id,MGI:103302
parameter_id,IMPC_GEP_084_001
mouse_life_stage,Early adult
