parameter_id,JAXLA_GRS_011_001
analysis_id,220tgvy1u1a4c6p
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
pvalue,0.6798387
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_symbol,Hspa5
gene_accession_id,MGI:95835
