parameter_id,ESLIM_014_001_008
parameter_name,Cornea vascularisation
mouse_life_stage,Early adult
gene_accession_id,MGI:1913284
gene_symbol,Psmd14
mouse_strain,C57BL
analysis_id,u718m6rka25h5bf
pvalue,0.4616071
